comment_id,video_id,author_name,comment_text,language,sentiment_label,sentiment_score,like_count
UgyM4aCHR7ndaZaLJ0B4AaABAg,l81k2mGxDBQ,@sathishdhulam96,I LOVE TELUGU KNOWLEDGE FOREVER BRO ❤️,English,Positive,0.9762,0
UgxR2sBcV4lC5RuMkiR4AaABAg,l81k2mGxDBQ,@harikrishna_125,Videos cheyadom appuku anna ni videos chusa chala informative videos and storytelling nerchukunna... We always love you❤❤,English + Telugu,Positive,0.971,0
UgzBJcJ3zyZMvt1AH_94AaABAg,l81k2mGxDBQ,@AravindSanne,Bro this way upload  best videos love❤ from Telangana😊,English,Positive,0.9799,2
Ugy14O83LX8unWDBy414AaABAg,l81k2mGxDBQ,@AravindSanne,Just video post 30 seconds only❤,English,Positive,0.6425,1
UgyjA5TA_WyCigE_DoF4AaABAg,l81k2mGxDBQ,@AravindSanne,First like❤ first comment😊,English,Positive,0.7782,1
UgwHPhdbQcOyRICStOh4AaABAg,v25zEFUprVY,@teluguknowledge42,"ఒకప్పుడు BJPని ప్రశ్నించిన రాఘవ్ చద్దా, 
ఇప్పుడు అదే పార్టీలో చేరడం Correct అని మీరు భావిస్తున్నారా? మీ అభిప్రాయం ?",Telugu,Neutral,0.7435,36
UgxG12c_JYKSvp1mXs94AaABAg,v25zEFUprVY,@PrasadKothamusicchanel,Recharge gattiga chesi vuntaaru,English + Telugu,Neutral,0.8169,0
UgzbUAQD3ldz6F5-vJZ4AaABAg,v25zEFUprVY,@Futurefilmmakersindia,Oka Pawan Kalyan... Oka Raghav chadaa... Antha.... Washing machine Mahima,English + Telugu,Neutral,0.8555,0
Ugx4X2NJYwZCcNLU1PN4AaABAg,v25zEFUprVY,@undibalaram,Jai ho bjp ❤,English,Positive,0.9196,0
Ugw7ohcTwupI5kVip-d4AaABAg,v25zEFUprVY,@P.V.Bhasckar,BJP అనుకూలంగా లేకపోతే ED దాడులు అనివార్యం.,Telugu,Neutral,0.7549,1
UgwSXuO8ipKBCwYnr8N4AaABAg,v25zEFUprVY,@kvinod869,Bjp vashing powadar nirma,English + Telugu,Neutral,0.7763,1
UgymNlNcbjo3lun3s7R4AaABAg,v25zEFUprVY,@MichaelMichael-qy8cz,Choor sala,English + Telugu,Neutral,0.7067,0
UgyXrcnBV4TxdmfnHb14AaABAg,v25zEFUprVY,@solomonvemulapalli1814,"ధనవంతులు ఎప్పుడూ డబ్బు కోసమే ,డబ్బు తో రాజకీయం చేస్తారు",Telugu,Neutral,0.7339,0
UgzPGMm9SVtoJ2wsUsJ4AaABAg,v25zEFUprVY,@kishorethimmapuram6392,ఈ రాఘవ చెడ్డ ఇండియా లో జరిగే ఏ ఎలక్షన్స్ లో  ECI అన్యాయలు అక్రమాలు క్వశ్చన్ చేయలేదు?? అప్పడే వీడు బీజేపీ కోవర్ట్ అనిపించింది?? ¿?,Telugu,Neutral,0.7782,0
Ugz7-64XPy9IuqmsLRJ4AaABAg,v25zEFUprVY,@dnrviewpointtelugu7241,"వాడు రాఘవ చెద్దా కాదు రాఘవ 'చెడ్డా' వాడు మోసం చేసింది.. ఆప్ ను కాదు.. వాన్ని నమ్మి, అభిమానం పెంచుకొన్న ప్రజలను.. 😡😡",Telugu,Neutral,0.7054,1
UgxIg63c-52nY89IpR94AaABAg,v25zEFUprVY,@masterraju_Talks_2.0,Raghav chedda is also BJP .,English + Telugu,Neutral,0.8637,1
UgxBYy8QpHnw5ED1oAd4AaABAg,v25zEFUprVY,@bpradeep4841,"బిజెపి బెదిరిస్తుంది ❤❤👍👍👍👍😎😎

Kజ్రైవల్ ను బెదిరించి Raghav చద్ద  కు వచ్చే పేరు వల్ల   బిజెపికి గండి పడుతుందని దానివల్ల బిజెపి పూర్తిగా గ్రాఫ్ పడిపోతుందని రాఘవ చేద్దామని బెదిరించి తన పార్టీలో చేరు చేర్చుకున్నారు బెదిరించి రాఘవ చేద్దాక వ్యతిరేకంగా మాట్లాడమని చెప్పారు ఇది సింపుల్ లాజిక్ మనం అర్థం చేసుకోవాల్సింది ప్రజలంతా అర్థం చేసుకోవచ్చు ఎందుకంటే ఆల్రెడీ కేంద్రీవాల్ జైల్లో వేశారు ఈ విధంగా బెదిరించడం బిజెపికి మామూలే అని నా సిక్స్త్ సెన్స్ చెప్తుంది ..... కాంగ్రెస్",Telugu,Positive,0.5075,2
Ugz-jLhQqmjnUpb2CUZ4AaABAg,v25zEFUprVY,@PR_213,I think alone aap can come back,English,Neutral,0.5648,0
Ugxl_YgGhIHFWEogX9p4AaABAg,v25zEFUprVY,@abdulsattar-ln5br,రాఘవ చెడ్డ పెద్ద దొంగవదవ,Telugu,Neutral,0.7309,0
Ugybsxb1iSo5Bb4jPsV4AaABAg,v25zEFUprVY,@Prakash_ప్రకాష్,"Make an audio on ""naxalism""",English,Negative,0.497,0
UgxLJHkKjSkbLB0sQxt4AaABAg,v25zEFUprVY,@rkbot.3688,Same R S ప్రవీణ్ చేసినట్టే చేసిండు,Telugu,Neutral,0.6667,1
UgzKl5o7Yr7o-_bSXLF4AaABAg,v25zEFUprVY,@bojjaramamurthy5260,India lo eppudu elanti nayakule vunnaru,English + Telugu,Neutral,0.7559,1
UgwV7HOsJIbtcK7ViT94AaABAg,v25zEFUprVY,@Yasasviii,Hmm...finally he also normal politician...how he fool people with his social media attention,English,Neutral,0.6648,1
Ugy13-bSBaSjmPpe3Px4AaABAg,v25zEFUprVY,@bommojusrikanth,Raghava chadda cheater,English + Telugu,Negative,0.7185,0
Ugxy7kCw3yaP4tbmPDd4AaABAg,v25zEFUprVY,@jayaprakash88-x9n,నువ్వు చేద్దాం అనే వ్యక్తి తన క్రిమినల్ వీడు బీజేపీతో కుమ్మక్కై మోసం చేశాడు ఇలాంటి నాయకుడు దరిద్రుడు వేస్ట్ గాడు ఉన్నా ఒకటే లేకున్నా ఒకటే రామోజీ పార్టీకి ఇలాంటి మూర్ఖుడు వెళ్లి పోవడం చాలా మంచిది కామన్ మీ పార్టీ నాయకుడు గొప్ప నాయకుడు రాఘవ చెడ్డ కాదు మీరు రాఘవ చెడ్డ విడిపోయిన మళ్లీ మంచి నాయకున్ని తప్పనిసరి వస్తారు దేశద్రోహులు జై భీమ్ జై కేజ్రీవాల్,Telugu,Neutral,0.7437,0
UgyiBqTl1rVDj5l1f9B4AaABAg,v25zEFUprVY,@PikkiTataji-vj9xy,రాఘవ చెడ్డ చేసినది కూడా ఒక వైపు నుంచి ఆలోచిస్తే మంచిదే కానీ అతన్ని దూరం చేసుకునేలా చేసుకోవడం అప్ చేసిన అతి పెద్ద తప్పు ఎవరు అయినా ప్రజా పక్షాన మాట్లాడితే వారిని కాంగ్రెస్ దాని మిత్ర పక్షం గొంతు నొక్కేస్తారు అందుకే ఆ పార్టీ లు అలా ఏడుస్తున్నాయి. మనం బిజెపి నీ విమర్శించడం కూడా కరెక్ట్ కాదు ఎందుకంటే వాళ్ళు పవర్ తో పాటు పొలిటికల్ మైండ్ బాగా తెలుసు అందుకే వాళ్ళ చాణక్య నీతిని అమలు పరిచారు జై హింద్...,Telugu,Neutral,0.7221,1
UgwEYdJAeHrLqQ64Mt14AaABAg,v25zEFUprVY,@rambabukodali4327,"తల్లి పాలు తాగి ఆ రొమ్మునే గుద్దే దుర్మార్గుడు వీడు...,",Telugu,Neutral,0.7433,0
UgyrhMYPAauvkF5fLpZ4AaABAg,v25zEFUprVY,@localguru7987,అన్న ఈ మధ్య మీ వీడియోలలో డెప్త్ ఉండట్లేదు మీరు చెప్పే ఇన్ఫర్మేషన్ మామూలుగా రీల్స్ లోనే వస్తుంది ఏదో చెప్పలని చెబుతున్నారు కొంచెం డీప్ ఇన్ఫర్మేషన్ గ్యాదర్ చేయండి అన్నా,Telugu,Neutral,0.7505,1
UgyBbYv_lKud_Z9ndPx4AaABAg,v25zEFUprVY,@Krajashekargoudk.r.sgoudKrajas,అందరు లీడర్స్ ఒకటే పెద్ద స్పెషల్ ఏమి కాదు 😢,Telugu,Neutral,0.747,0
UgzOazZJxq6IqmafAZ94AaABAg,v25zEFUprVY,@asrinu1956,Chadda kadhu chaddodu,English + Telugu,Neutral,0.7509,1
UgyPbN56BoTKTPCX9mN4AaABAg,v25zEFUprVY,@pulivijayalakshmi4606,Vaadu oka bali pasuvu oka pechhi bakara gaadu😂😂,English + Telugu,Neutral,0.6768,0
UgybP0i9sRJEfhClMHl4AaABAg,v25zEFUprVY,@vissamsettyvenkatesh5303,Bjp mundu tana manifesto clear cheyali,English + Telugu,Neutral,0.8112,1
UgyvQIhY274aze81lhV4AaABAg,v25zEFUprVY,@vissamsettyvenkatesh5303,Bjp desaniki pattina daridram,English + Telugu,Neutral,0.8008,2
Ugxqu3Bf5El8Yj34Mfp4AaABAg,v25zEFUprVY,@Audio_Time,Yerripuvvu lu unnantha varaku bjp power lo ne untadhi,English + Telugu,Neutral,0.7898,0
UgyIR6UOSDUwsqf_Utt4AaABAg,v25zEFUprVY,@samuelchristian8832,Washing powder nirma 😊,English + Telugu,Positive,0.7435,2
Ugwr6LprksewuI0e7S94AaABAg,v25zEFUprVY,@rameshputur,Stupid people,English,Negative,0.8345,0
UgxoE4ZX3smiYCKWJmp4AaABAg,v25zEFUprVY,@SdMasthan-e9x,Vanni gurinchi endira matlu chetha nakodaka,English + Telugu,Neutral,0.7778,0
UgxsUqwYh3S808-FsAt4AaABAg,v25zEFUprVY,@SdMasthan-e9x,"Raghavchedda ki modi 1000 kotlu offer,Ayana graph hundred persent pergondi Aite veedu O parsent ki padipoyadu",English + Telugu,Neutral,0.8805,0
UgzJp9Xzn7QlH71pBix4AaABAg,v25zEFUprVY,@gourishankarpalepu903,Raghav chadda ek number dhokebaaz,English + Telugu,Neutral,0.8,0
UgxvuvOZQh-APTQcwul4AaABAg,v25zEFUprVY,@VGBABU-v1y2i,"Oosaravelli,, Worst Dirty politician , Package Star in india",English,Negative,0.945,1
Ugyu9b7lQjfPbtv9ACl4AaABAg,v25zEFUprVY,@Josephjosephkondhra,Parlament lo chadda talk also kutra,English + Telugu,Neutral,0.8524,0
UgweaDMRakm83zisB6x4AaABAg,v25zEFUprVY,@Josephjosephkondhra,"Teesuka povadam mosam,neeti heenudu",English + Telugu,Neutral,0.859,1
UgxfU1njBdbAQY7FIRJ4AaABAg,v25zEFUprVY,@yellaiahchittala2635,Party Change Chesevadu Useless fellow and Waste fellow,English,Negative,0.9072,0
UgxBVagRMzjuuOt_urd4AaABAg,v25zEFUprVY,@Tharunp2Oxg4AT4qwsi0PD3kOgm,పంజాబ్ లో అతులు కూడా పీకలేడు రాఘవ చెడ్డి,Telugu,Neutral,0.7389,0
Ugwb_amfDDdifGAFULl4AaABAg,v25zEFUprVY,@pattanhafeezkhan1815,Raghav chadda pant vadili Nikkar vesadu,English + Telugu,Neutral,0.8594,0
Ugx0uM5syFtQrJd_BDF4AaABAg,v25zEFUprVY,@prabhakarrao426,A prefect demonstration of make people believe that I am for the people and show the real flavour of a Politician.🎉,English,Positive,0.9223,2
Ugy0Bfad4MRbCkqGP-J4AaABAg,v25zEFUprVY,@sanjeevreddyragireddy5208,Thuuuuuuuu idhoka bathuka cheppandi 👎👎👎👎👎 ragav chadaa chadda chadda,English + Telugu,Neutral,0.4556,0
Ugwl3UNqUn16NKgQdRZ4AaABAg,v25zEFUprVY,@chennaraom9192,Raghv Chadda is correct.. He will won in Panjab..Young leader will be emerged for Indian Politics,English,Positive,0.8247,0
UgyN5MzRv4yf7WPjCjJ4AaABAg,v25zEFUprVY,@ShaikAbdhulbvrm2,సార్ మీకు అర్ధం కావడం లేదు యోగి గారు ప్లేస్ లో నన్ను ఉండమని కోరారు అందుకే వచ్చిన నన్ను ఎందుకు అలా అనుకుంటారు,Telugu,Neutral,0.7207,1
UgzBwLQUzt2V4kwmsKJ4AaABAg,v25zEFUprVY,@samsonkampelli6370,Hai bro,English,Neutral,0.6447,0
UgxunXU3OVxy-GnZMr54AaABAg,v25zEFUprVY,@maximumgamerz4778,"BJP Nukalu tini balisina kodi ""Raghava chadda.."" veedu bale mosagadu",English + Telugu,Neutral,0.7674,0
Ugy9ygJ2rllkEJ6Y3wN4AaABAg,v25zEFUprVY,@nampallyvenkanna5612,Super,English,Positive,0.6605,0
UgzZ8F01yHF0wbFlKVp4AaABAg,v25zEFUprVY,@mpkrishnaiah3819,It may be joining bjp not affected anti defection bill but morally they must resign as they elected by the elected members and joined in uneducated and gundas party (in his words),English,Neutral,0.5066,0
UgxwiDGvJJC12NTTi1B4AaABAg,v25zEFUprVY,@indianiqstudypoint4428,Hi Paytm hero. I expected this from you.,English,Positive,0.7256,3
UgzKQdsdiQPr4ag6OXR4AaABAg,v25zEFUprVY,@rajveerarajveera,Please explain The Taj Story..  real facts and fiction... I want you to listen in your point of view please,English,Neutral,0.747,0
UgzsVVXSBifntVIo5D54AaABAg,RmD7yLSVMJA,@teluguknowledge42,"కవిత TRS vs కేసీఆర్ BRS... 
తెలంగాణ ప్రజలు ఎవరి వైపు ఉంటారు? 
Comment Below...💌",Telugu,Neutral,0.8107,15
Ugx3-EpzGHuEU1RbZvh4AaABAg,RmD7yLSVMJA,@Mahendhar-Puppala,బ్రో మది పక్క తెలంగాణ. కవితకు 1% కూడా ఓట్లు పడవు. అటు తిరిగి ఇటు తిరిగి మళ్ళీ టిఆర్ఎస్ బిఆర్ఎస్ లో విలీనం చేస్తుంది. టిఆర్ఎస్ పేరుతోనే కేసీఆర్ కి ఫ్రీగా పబ్లిసిటీ చేయడం తప్ప ఇక్కడ ఏమీ ఉపయోగం లేదు. వచ్చే ఎన్నికల్లో కేసీఆర్ ముఖ్యమంత్రి అవుతాడు.,Telugu,Neutral,0.7701,0
UgyJPdZS2UhPai4b32x4AaABAg,RmD7yLSVMJA,@Prakash_ప్రకాష్,నక్సలిజం మీద ఒక ఆడియో పెట్టు.,Telugu,Neutral,0.7185,0
Ugz3vXvh5KcJXwZwbYF4AaABAg,RmD7yLSVMJA,@devendranathrasalay6594,Siggu leni jail nundi vachina vallu thappudu panulu chesina vallaku modata thalakekkinchu kuntaru aa taruvata bada padutaru,English + Telugu,Neutral,0.7112,0
UgwRXrwllhbc_gjpj4F4AaABAg,RmD7yLSVMJA,@JaiKrishna-n2y,Bro politicians pracharam chesetapudu arm em tayitu eduku kadataru,English + Telugu,Neutral,0.7607,0
UgzbaFxrc9_FPVgJYKV4AaABAg,RmD7yLSVMJA,@naninaveen1302,"Anna
2010 andrapradesh mfi crises mida videos cheyandi please",English + Telugu,Neutral,0.7893,0
Ugxkpg0CKF_RR8i--dZ4AaABAg,RmD7yLSVMJA,@devarasivakrishna3698,"కవిత, కేసీఆర్ ల కథ వింటుంటే, సేమ్ కృష్ణవంశీ, శ్రీకాంత్ ల కాంబినేషన్ లో వచ్చిన మహాత్మ సినిమా స్టోరీలా ఉంది.",Telugu,Neutral,0.7504,2
UgykeRMNGSZNx6YTP8N4AaABAg,RmD7yLSVMJA,@sundherbatharaju9477,Good intimation,English + Telugu,Positive,0.7542,0
UgxB13fnH7aiiNdRLyV4AaABAg,RmD7yLSVMJA,@gopibadavath-jd8nf,రెండవ షర్మిల అవుతుంది ఏమో?,Telugu,Neutral,0.685,0
Ugz3HjMK6ySqeZCBUoN4AaABAg,RmD7yLSVMJA,@gudellabhanu6436,Super anna 🤝,English,Positive,0.973,0
UgzjFV_zFCc2I281ZFZ4AaABAg,RmD7yLSVMJA,@Rrtelugu8008,Kukkalu kuda dekatledu....media Vallu over hype esthunnaru....,English + Telugu,Neutral,0.745,0
UgyG7h755xK8jL6cbAl4AaABAg,RmD7yLSVMJA,@sunilbabu9635,You give any workshops on creating videos? I am very impressed with ur video editing and mainly the use of AI. Please let me know,English,Positive,0.9618,0
Ugy6Qw4Q-jcwJz2iGxt4AaABAg,RmD7yLSVMJA,@chandaprabhakar9,Telangana always with KCR❤❤❤,English + Telugu,Positive,0.9466,0
Ugwk34bE2s_wgbzw4dd4AaABAg,RmD7yLSVMJA,@KSk-x9k,Deposit radu,English + Telugu,Neutral,0.803,1
UgyPLNOlB1tCKl5awKt4AaABAg,RmD7yLSVMJA,@saivarma7959,Sollu anna elections ayipoyaka malli vallu kalisipotharu seats panchukuntaru 😂😂😂,English + Telugu,Neutral,0.682,0
UgxXRG9OatZ6or9h_k94AaABAg,RmD7yLSVMJA,@s.dinesh.92,TRS Ni BRS lo kalepestharu oka 10 years lo 100% pakka rasi pettuko 😂,English + Telugu,Neutral,0.7414,0
